Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Single Cell Sequencing of Human PBMCs in Clonal Hematopoeisis of Indeterminant Potential,Multiomic Profiling of Human Clonal Hematopoiesis Reveals Genotype and Cell-Specific Inflammatory Pathway Activation,https://cellxgene.cziscience.com/e/19e46756-9100-4e01-8b0e-23b557558a4c.cxg/,https://datasets.cellxgene.cziscience.com/4e6932db-5a78-40e4-b961-f87f66ba139a.h5ad,doi:10.1182/bloodadvances.2023011445,,T,T,scType_celltype,Cell types,"Normal, abbreviations ",,Heimlich et al. (2024) Blood Advances,https://cellxgene.cziscience.com/collections/0aab20b3-c30c-4606-bd2e-d20dae739c45,Normal,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,celltype.final ,Cell types ,"Normal, abbreviations",,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,celltype.broad_clustering_annot,Cell types ,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR.top10,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR_IGH.C.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR_IGH.CDR3.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR_IGH.D.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR_IGH.J.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR_IGH.V.1,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
"Circulating Immune cells -- CV19 infection, vaccination and HC",COVID-19 mRNA vaccine elicits a potent adaptive immune response in the absence of persistent inflammation observed in SARS-CoV-2 infection,https://cellxgene.cziscience.com/e/242c6e7f-9016-4048-af70-d631f5eea188.cxg/,https://datasets.cellxgene.cziscience.com/ec22af38-8cea-45ee-9911-c54f16d8cfcd.h5ad,doi:10.1016/j.isci.2023.108572,,T,T,BCR_IGH.clonotype,Other,Abbreviations ,,Ivanova et al. (2023) iScience,https://cellxgene.cziscience.com/collections/ecb739c5-fe0d-4b48-81c6-217c4d64eec4,Normal ,Adult
