Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,author_cell_type,Cell types,"Normal, abbreviations",,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,BCR_ChainCombination,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,BCR_ISOTYPE,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,IGH_J_CALL,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,IGH_J_CALL_GENOTYPED,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,IGL_C_Gene,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,IGL_VDJ_Gene,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,TCR_c_gene,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,TCR_d_gene,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,TCR_j_gene,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,TCR_v_gene,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
Colon,Distinct microbial and immune niches of the human colon,https://cellxgene.cziscience.com/e/2872f4b0-b171-46e2-abc6-befcf6de6306.cxg/,https://datasets.cellxgene.cziscience.com/e96396d7-032d-4b60-ad7b-7e815deb1b19.h5ad,DOI:10.1038/s41590-020-0602-z,Y,Y,Y,sample,Other,Abbreviations,,James et al. (2020) Nat Immunol,https://cellxgene.cziscience.com/collections/7681c7d7-0168-4892-a547-6f02a6430ace,Normal,Adult
