Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,cell_name_detailed,Cell types,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,cell_name,Cell types,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,cell_type_group ,Cell types,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,Enrichment_fraction ,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,Purification,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,Donor_nb,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,CRL,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,Sample,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Fetal Human Gut (6-11 PCW),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/b46237d1-19c6-4af2-9335-9854634bad16.cxg/,https://datasets.cellxgene.cziscience.com/37a13a09-e9aa-4d2a-900c-0862e13cfac3.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,PCW,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal,Developing
Paediatric Human Gut (4-14y),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/8e47ed12-c658-4252-b126-381df8d52a3d.cxg/,https://datasets.cellxgene.cziscience.com/a4e81c2f-2e1e-4a6c-810f-88aa7fce3125.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,annotation_V2,Cell types,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal/Disease,Developing
Paediatric Human Gut (4-14y),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/8e47ed12-c658-4252-b126-381df8d52a3d.cxg/,https://datasets.cellxgene.cziscience.com/a4e81c2f-2e1e-4a6c-810f-88aa7fce3125.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,inferred state,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal/Disease,Developing
Paediatric Human Gut (4-14y),Single-Cell Sequencing of Developing Human Gut Reveals Transcriptional Links to Childhood Crohn’s Disease,https://cellxgene.cziscience.com/e/8e47ed12-c658-4252-b126-381df8d52a3d.cxg/,https://datasets.cellxgene.cziscience.com/a4e81c2f-2e1e-4a6c-810f-88aa7fce3125.h5ad,DOI:10.1016/j.devcel.2020.11.010,Y,Y,Y,batch,Other ,,,Elmentaite et al. (2020) Developmental Cell,https://cellxgene.cziscience.com/collections/17481d16-ee44-49e5-bcf0-28c0780d8c4a,Normal/Disease,Developing
