Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Discovery (DIS) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/e40c6272-af77-4a10-9385-62a398884f27.cxg/,https://datasets.cellxgene.cziscience.com/d7d2718a-8a6a-4697-bded-6a4f00fa8d8c.h5ad,DOI:10.1016/j.cell.2021.11.031,T,T,T,Cell_Type,Cell types,abbreviations,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Discovery (DIS) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/e40c6272-af77-4a10-9385-62a398884f27.cxg/,https://datasets.cellxgene.cziscience.com/d7d2718a-8a6a-4697-bded-6a4f00fa8d8c.h5ad,DOI:10.1016/j.cell.2021.11.031,T,T,T,Sample_Classification ,Other,abbreviations,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Discovery (DIS) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/e40c6272-af77-4a10-9385-62a398884f27.cxg/,https://datasets.cellxgene.cziscience.com/d7d2718a-8a6a-4697-bded-6a4f00fa8d8c.h5ad,DOI:10.1016/j.cell.2021.11.031,T,T,T,Polyp_Type,Other,abbreviations,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Discovery (DIS) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/e40c6272-af77-4a10-9385-62a398884f27.cxg/,https://datasets.cellxgene.cziscience.com/d7d2718a-8a6a-4697-bded-6a4f00fa8d8c.h5ad,DOI:10.1016/j.cell.2021.11.031,T,T,T,HTAN Parent Data FIle ID,Other,normal ,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Discovery (DIS) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/e40c6272-af77-4a10-9385-62a398884f27.cxg/,https://datasets.cellxgene.cziscience.com/d7d2718a-8a6a-4697-bded-6a4f00fa8d8c.h5ad,DOI:10.1016/j.cell.2021.11.031,T,T,T,HTAN Specimen ID,Other,normal ,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Validation (Val) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.cxg/,https://datasets.cellxgene.cziscience.com/2e3f5af1-af1f-4828-aa82-5453a2fab7ea.h5ad,DOI:10.1016/j.cell.2021.11.032,T,T,T,Cell_Type,Cell types,abbreviations,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Validation (Val) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.cxg/,https://datasets.cellxgene.cziscience.com/2e3f5af1-af1f-4828-aa82-5453a2fab7ea.h5ad,DOI:10.1016/j.cell.2021.11.036,T,T,T,Sample_Classification ,Other,abbreviations,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Validation (Val) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.cxg/,https://datasets.cellxgene.cziscience.com/2e3f5af1-af1f-4828-aa82-5453a2fab7ea.h5ad,DOI:10.1016/j.cell.2021.11.035,T,T,T,Polyp_Type,Other,abbreviations,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Validation (Val) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.cxg/,https://datasets.cellxgene.cziscience.com/2e3f5af1-af1f-4828-aa82-5453a2fab7ea.h5ad,DOI:10.1016/j.cell.2021.11.033,T,T,T,HTAN Parent Data FIle ID,Other,normal ,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
Validation (Val) set of human colorectal tumor: Epithelial,HTAN VUMC - Differential pre-malignant programs and microenvironment chart distinct paths to malignancy in human colorectal polyps,https://cellxgene.cziscience.com/e/d6dfdef1-406d-4efb-808c-3c5eddbfe0cb.cxg/,https://datasets.cellxgene.cziscience.com/2e3f5af1-af1f-4828-aa82-5453a2fab7ea.h5ad,DOI:10.1016/j.cell.2021.11.034,T,T,T,HTAN Specimen ID,Other,normal ,,Chen et al. (2021) Cell,https://cellxgene.cziscience.com/collections/a48f5033-3438-4550-8574-cdff3263fdfd,Disease,Adult
