Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
"AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India",Asian Immune Diversity Atlas (AIDA),https://cellxgene.cziscience.com/e/c838aec3-03ef-4398-b882-0e3912abfff0.cxg/,https://datasets.cellxgene.cziscience.com/45f65bd0-f115-42e0-9af9-e409e58485f0.h5ad,-,-,T,T,Annotation_Level1,cell types,normal,,Kock et al. (2025) Cell,https://cellxgene.cziscience.com/collections/ced320a1-29f3-47c1-a735-513c7084d508,Normal,Adult
"AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India",Asian Immune Diversity Atlas (AIDA),https://cellxgene.cziscience.com/e/c838aec3-03ef-4398-b882-0e3912abfff0.cxg/,https://datasets.cellxgene.cziscience.com/45f65bd0-f115-42e0-9af9-e409e58485f0.h5ad,-,-,T,T,Annotation_Level2,cell types,normal,,Kock et al. (2025) Cell,https://cellxgene.cziscience.com/collections/ced320a1-29f3-47c1-a735-513c7084d508,Normal,Adult
"AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India",Asian Immune Diversity Atlas (AIDA),https://cellxgene.cziscience.com/e/c838aec3-03ef-4398-b882-0e3912abfff0.cxg/,https://datasets.cellxgene.cziscience.com/45f65bd0-f115-42e0-9af9-e409e58485f0.h5ad,-,-,T,T,Annotation_Level3,cell types,normal,,Kock et al. (2025) Cell,https://cellxgene.cziscience.com/collections/ced320a1-29f3-47c1-a735-513c7084d508,Normal,Adult
"AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India",Asian Immune Diversity Atlas (AIDA),https://cellxgene.cziscience.com/e/c838aec3-03ef-4398-b882-0e3912abfff0.cxg/,https://datasets.cellxgene.cziscience.com/45f65bd0-f115-42e0-9af9-e409e58485f0.h5ad,-,-,T,T,Annotation_Level4,cell types,normal,,Kock et al. (2025) Cell,https://cellxgene.cziscience.com/collections/ced320a1-29f3-47c1-a735-513c7084d508,Normal,Adult
"AIDA Phase 1 Data Freeze v2: Chinese, Indian, Japanese, Korean, Malay, and Thai donors in Japan, Singapore, South Korea, Thailand, and India",Asian Immune Diversity Atlas (AIDA),https://cellxgene.cziscience.com/e/c838aec3-03ef-4398-b882-0e3912abfff0.cxg/,https://datasets.cellxgene.cziscience.com/45f65bd0-f115-42e0-9af9-e409e58485f0.h5ad,-,-,T,T,author_cell_type,cell types,normal,,Kock et al. (2025) Cell,https://cellxgene.cziscience.com/collections/ced320a1-29f3-47c1-a735-513c7084d508,Normal,Adult
"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,https://cellxgene.cziscience.com/e/ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3.cxg/,https://datasets.cellxgene.cziscience.com/ac818189-5c6b-48d2-8bf1-f7511de7b5a9.h5ad,DOI: 10.1016/j.cell.2022.01.012,T,T,T,GEX_region ,Cell types ,normal ,,Ahern et al. (2022) Cell ,https://cellxgene.cziscience.com/collections/8f126edf-5405-4731-8374-b5ce11f53e82,Normal,Adult
"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,https://cellxgene.cziscience.com/e/ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3.cxg/,https://datasets.cellxgene.cziscience.com/ac818189-5c6b-48d2-8bf1-f7511de7b5a9.h5ad,DOI: 10.1016/j.cell.2022.01.012,T,T,T,Cell_type_original,Cell types ,normal ,,Ahern et al. (2022) Cell ,https://cellxgene.cziscience.com/collections/8f126edf-5405-4731-8374-b5ce11f53e82,Normal,Adult
"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,https://cellxgene.cziscience.com/e/ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3.cxg/,https://datasets.cellxgene.cziscience.com/ac818189-5c6b-48d2-8bf1-f7511de7b5a9.h5ad,DOI: 10.1016/j.cell.2022.01.012,T,T,T,Cluster,Cell types ,normal ,,Ahern et al. (2022) Cell ,https://cellxgene.cziscience.com/collections/8f126edf-5405-4731-8374-b5ce11f53e82,Normal,Adult
"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,https://cellxgene.cziscience.com/e/ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3.cxg/,https://datasets.cellxgene.cziscience.com/ac818189-5c6b-48d2-8bf1-f7511de7b5a9.h5ad,DOI: 10.1016/j.cell.2022.01.012,T,T,T,major_subset,Cell types ,normal ,,Ahern et al. (2022) Cell ,https://cellxgene.cziscience.com/collections/8f126edf-5405-4731-8374-b5ce11f53e82,Normal,Adult
"COMBAT project: single cell gene expression data from COVID-19, sepsis and flu patient PBMCs",A blood atlas of COVID-19 defines hallmarks of disease severity and specificity,https://cellxgene.cziscience.com/e/ebc2e1ff-c8f9-466a-acf4-9d291afaf8b3.cxg/,https://datasets.cellxgene.cziscience.com/ac818189-5c6b-48d2-8bf1-f7511de7b5a9.h5ad,DOI: 10.1016/j.cell.2022.01.012,T,T,T,minor_subset,Cell types ,normal ,,Ahern et al. (2022) Cell ,https://cellxgene.cziscience.com/collections/8f126edf-5405-4731-8374-b5ce11f53e82,Normal,Adult
